SlNo,CityName,Province,Proportion
1;"Guangzhou City";"Guangdong Province";"2.52% "
2;"Shenzhen";"Guangdong Province";"2.31% "
3;"Dongguan city";"Guangdong Province";"2.17% "
4;"Chengdu";"Sichuan Province";"1.87% "
5;"Foshan City";"Guangdong Province";"1.58% "
6;"Suzhou City";"Jiangsu Province";"1.54% "
7;"Hangzhou";"Zhejiang Province";"1.54% "
8;"Zhengzhou City";"Henan Province";"1.53% "
9;"Xi'an";"Shaanxi Province";"1.49% "
10;"Shanghai";"Shanghai";"1.47% "
11;"Changsha City";"Hunan Province";"1.31% "
12;"Huizhou";"Guangdong Province";"1.17% "
13;"Nanjing";"Jiangsu Province";"0.97% "
14;"Hefei";"Anhui Province";"0.96% "
15;"Kunming";"Yunnan Province";"0.95% "
16;"Beijing";"Beijing";"0.93% "
17;"Chongqing";"Chongqing";"0.91% "
18;"Zhongshan City";"Guangdong Province";"0.90% "
19;"Wuxi City";"Jiangsu Province";"0.88% "
20;"Guiyang City";"Guizhou Province";"0.87% "
21;"Jinan City";"Shandong Province";"0.82% "
22;"Xianyang City";"Shaanxi Province";"0.78% "
23;"Tianjin";"Tianjin";"0.76% "
24;"Jiaxing";"Zhejiang Province";"0.70% "
25;"Shenyang city";"Liaoning Province";"0.67% "
26;"Ningbo City";"Zhejiang Province";"0.66% "
27;"Taiyuan";"Shanxi Province";"0.66% "
28;"NanNing City";"Guangxi Zhuang Autonomous Region";"0.65% "
29;"Huzhou";"Zhejiang Province";"0.63% "
30;"Jinhua City";"Zhejiang Province";"0.62% "
31;"Changzhou City";"Jiangsu Province";"0.60% "
32;"Langfang City";"Hebei Province";"0.59% "
33;"Wenzhou city";"Zhejiang Province";"0.58% "
34;"Qingdao";"Shandong Province";"0.57% "
35;"Xuzhou";"Jiangsu Province";"0.56% "
36;"Shaoxing City";"Zhejiang Province";"0.55% "
37;"Shijiazhuang City";"Hebei Province";"0.55% "
38;"Xiamen City";"Fujian Province";"0.54% "
39;"Linyi City";"Shandong Province";"0.53% "
40;"Changchun City";"Jilin Province";"0.53% "
41;"Weifang";"Shandong Province";"0.53% "
42;"Urumqi";"Xinjiang Uygur Autonomous Region";"0.52% "
43;"Quanzhou";"Fujian Province";"0.50% "
44;"Jiangmen";"Guangdong Province";"0.49% "
45;"Jining City";"Shandong Province";"0.47% "
46;"Nanchang";"Jiangxi";"0.47% "
47;"Nantong city";"Jiangsu Province";"0.47% "
48;"Zhoukou City";"Henan Province";"0.46% "
49;"Bijie City";"Guizhou Province";"0.45% "
50;"Baoding";"Hebei Province";"0.45% "
51;"Suzhou City";"Anhui Province";"0.45% "
52;"Lan'Zhou City";"Gansu province";"0.45% "
53;"Zhuhai city";"Guangdong Province";"0.45% "
54;"Taizhou";"Jiangsu Province";"0.43% "
55;"Qingyuan";"Guangdong Province";"0.43% "
56;"Xinxiang";"Henan Province";"0.43% "
57;"Haikou";"Hainan";"0.42% "
58;"Taizhou";"Zhejiang Province";"0.42% "
59;"Dezhou";"Shandong Province";"0.41% "
60;"Wuhan";"Hubei Province";"0.41% "
61;"Fuyang City";"Anhui Province";"0.41% "
62;"Deyang";"Sichuan Province";"0.41% "
63;"Zhenjiang";"Jiangsu Province";"0.41% "
64;"Fuzhou";"Fujian Province";"0.41% "
65;"Cangzhou City";"Hebei Province";"0.40% "
66;"Kaifeng";"Henan Province";"0.40% "
67;"Zunyi City";"Guizhou Province";"0.39% "
68;"Shangqiu City";"Henan Province";"0.39% "
69;"Heze City";"Shandong Province";"0.39% "
70;"Yinchuan City";"Ningxia Hui Autonomous Region";"0.39% "
71;"Weinan City";"Shaanxi Province";"0.38% "
72;"Zhangzhou City";"Fujian Province";"0.38% "
73;"Meishan City";"Sichuan Province";"0.38% "
74;"Yancheng";"Jiangsu Province";"0.38% "
75;"Harbin City";"Heilongjiang Province";"0.37% "
76;"Tangshan City";"Hebei Province";"0.37% "
77;"Ordos City";"Inner Mongolia Autonomous Region";"0.36% "
78;"Chuzhou";"Anhui Province";"0.36% "
79;"Lu'an City";"Anhui Province";"0.36% "
80;"Handan";"Hebei Province";"0.36% "
81;"Yulin City";"Shaanxi Province";"0.36% "
82;"Xuchang City";"Henan Province";"0.35% "
83;"Miao Autonomous Prefecture";"Guizhou Province";"0.35% "
84;"Zibo";"Shandong Province";"0.35% "
85;"Qujing City";"Yunnan Province";"0.34% "
86;"Zhaoqing";"Guangdong Province";"0.34% "
87;"Jinzhong City";"Shanxi Province";"0.34% "
88;"Yueyang City";"Hunan Province";"0.34% "
89;"Yangzhou";"Jiangsu Province";"0.33% "
90;"Zhuzhou City";"Hunan Province";"0.33% "
91;"Xingtai city";"Hebei Province";"0.33% "
92;"Anyang City";"Henan Province";"0.33% "
93;"Luoyang City";"Henan Province";"0.33% "
94;"Shan Tou";"Guangdong Province";"0.33% "
95;"Liaocheng";"Shandong Province";"0.32% "
96;"Suqian";"Jiangsu Province";"0.32% "
97;"Binzhou";"Shandong Province";"0.32% "
98;"Xining";"Qinghai Province";"0.32% "
99;"Mianyang City";"Sichuan Province";"0.32% "
100;"City of Yantai";"Shandong Province";"0.31% "
